activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344656913,I,1218148,X,,2020-08-17 00:28:26 EDT
344656921,C,1545503,X,,2020-08-17 00:28:26 EDT
344656939,R,1543237,,X,2020-08-17 00:28:26 EDT
344656954,C,1546095,X,,2020-08-17 00:28:26 EDT
344656970,C,1546488,,X,2020-08-17 00:28:26 EDT
344656970,C,1546488,X,,2020-08-17 00:28:26 EDT
344657028,I,1432611,,,2020-08-17 00:28:26 EDT
344657036,C,1545391,X,,2020-08-17 00:28:26 EDT
344657044,R,1545827,,X,2020-08-17 00:28:26 EDT
344657101,R,1536417,X,,2020-08-17 00:28:26 EDT
344657127,R,1545221,X,,2020-08-17 00:28:26 EDT
344657127,R,1545221,,X,2020-08-17 00:28:26 EDT
344657168,C,1540866,X,,2020-08-17 00:28:26 EDT
344657184,C,1546632,X,,2020-08-17 00:28:26 EDT
344657200,I,1445387,,,2020-08-17 00:28:26 EDT
344657218,A,1546587,,,2020-08-17 00:28:26 EDT
344657234,R,1546261,X,,2020-08-17 00:28:26 EDT
344657267,C,1545134,,X,2020-08-17 00:28:26 EDT
344657309,C,1509827,X,,2020-08-17 00:28:26 EDT
344657317,I,1390933,,,2020-08-17 00:28:26 EDT
344657424,C,1465888,,X,2020-08-17 00:28:26 EDT
344657432,C,1547809,X,,2020-08-17 00:28:26 EDT
344657440,C,1437367,,X,2020-08-17 00:28:26 EDT
344657457,R,1546069,X,,2020-08-17 00:28:26 EDT
344657457,R,1546069,,X,2020-08-17 00:28:26 EDT
344657481,C,1543947,,X,2020-08-17 00:28:26 EDT
344657515,C,1546222,X,,2020-08-17 00:28:26 EDT
344657523,R,1546113,X,,2020-08-17 00:28:26 EDT
344657531,C,1538744,,X,2020-08-17 00:28:26 EDT
344657549,C,1547286,X,,2020-08-17 00:28:26 EDT
344657580,R,1545713,X,,2020-08-17 00:28:26 EDT
344657622,R,1547407,X,,2020-08-17 00:28:26 EDT
344657630,A,1547202,,,2020-08-17 00:28:26 EDT
344657648,C,1540304,X,,2020-08-17 00:28:26 EDT
344657648,C,1540304,,X,2020-08-17 00:28:26 EDT
344657663,R,1543896,X,,2020-08-17 00:28:26 EDT
344657671,A,1547485,,,2020-08-17 00:28:26 EDT
344657697,C,1545910,X,,2020-08-17 00:28:26 EDT
344657747,R,1547842,X,,2020-08-17 00:28:26 EDT
344657754,C,1545304,,X,2020-08-17 00:28:26 EDT
344657770,C,1545460,X,,2020-08-17 00:28:26 EDT
344657788,R,1547853,,X,2020-08-17 00:28:26 EDT
344657796,R,1547879,X,,2020-08-17 00:28:26 EDT
344657846,R,1545920,X,,2020-08-17 00:28:26 EDT
344657861,C,1544824,,X,2020-08-17 00:28:26 EDT
344657879,A,1547432,,,2020-08-17 00:28:26 EDT
344657903,R,1547885,X,,2020-08-17 00:28:26 EDT
344657903,R,1547885,,X,2020-08-17 00:28:26 EDT
344657978,R,1547901,X,,2020-08-17 00:28:26 EDT
344657986,R,1514025,,X,2020-08-17 00:28:26 EDT
344658000,R,1539636,X,,2020-08-17 00:28:26 EDT
344658034,C,1547821,X,,2020-08-17 00:28:26 EDT
344658075,R,1544246,,X,2020-08-17 00:28:26 EDT
344658109,A,1547432,,,2020-08-17 00:28:26 EDT
344658158,R,1545881,X,,2020-08-17 00:28:26 EDT
344658166,R,1547929,X,,2020-08-17 00:28:26 EDT
344658166,R,1547929,,X,2020-08-17 00:28:26 EDT
344658190,C,1547182,,X,2020-08-17 00:28:26 EDT
344658190,C,1547182,X,,2020-08-17 00:28:26 EDT
344658216,A,1520441,,,2020-08-17 00:28:26 EDT
344658232,R,1536021,X,,2020-08-17 00:28:26 EDT
344658273,C,1545239,X,,2020-08-17 00:28:26 EDT
344658281,R,1547937,X,,2020-08-17 00:28:26 EDT
344658299,C,1541743,X,,2020-08-17 00:28:26 EDT
344658299,C,1549451,X,,2020-08-17 00:28:26 EDT
344658307,C,1547942,X,,2020-08-17 00:28:26 EDT
344658315,C,1545999,X,,2020-08-17 00:28:26 EDT
344658323,C,1545227,X,,2020-08-17 00:28:26 EDT
344658331,A,1546280,,,2020-08-17 00:28:26 EDT
344658364,C,1540926,X,,2020-08-17 00:28:26 EDT
344658372,C,1520715,X,,2020-08-17 00:28:26 EDT
344658372,C,1520715,,X,2020-08-17 00:28:26 EDT
344658380,C,1543644,X,,2020-08-17 00:28:26 EDT
344658414,A,1541511,,,2020-08-17 00:28:26 EDT
344658455,C,1547105,X,,2020-08-17 00:28:26 EDT
344658463,C,1544255,,X,2020-08-17 00:28:26 EDT
344658513,C,1547947,X,,2020-08-17 00:28:26 EDT
344658521,C,1545314,X,,2020-08-17 00:28:26 EDT
344658539,C,1547949,X,,2020-08-17 00:28:26 EDT
344658547,R,1546667,X,,2020-08-17 00:28:26 EDT
344658554,C,1544873,X,,2020-08-17 00:28:26 EDT
344658562,I,1408307,,X,2020-08-17 00:28:26 EDT
344658570,R,1524893,X,,2020-08-17 00:28:26 EDT
344658588,R,1540224,X,,2020-08-17 00:28:26 EDT
344658596,C,1542951,,X,2020-08-17 00:28:26 EDT
344658752,C,1530586,,X,2020-08-17 00:28:26 EDT
344658877,C,1540713,X,,2020-08-17 00:28:26 EDT
344658901,C,1545801,,X,2020-08-17 00:28:26 EDT
344658919,I,1447275,X,,2020-08-17 00:28:26 EDT
344658935,C,1545804,X,,2020-08-17 00:28:26 EDT
344658950,C,1537052,,X,2020-08-17 00:28:26 EDT
344658976,R,1557138,X,,2020-08-17 00:28:26 EDT
344658984,C,1547146,,X,2020-08-17 00:28:26 EDT
344659024,C,1537497,X,,2020-08-17 00:28:26 EDT
344659040,C,1542983,X,,2020-08-17 00:28:26 EDT
344659057,R,1544925,,X,2020-08-17 00:28:26 EDT
344659073,R,1548003,X,,2020-08-17 00:28:26 EDT
344659123,C,1546471,X,,2020-08-17 00:28:26 EDT
344659156,C,1547235,X,,2020-08-17 00:28:26 EDT
344659156,C,1547235,,X,2020-08-17 00:28:26 EDT
344659164,C,1545010,X,,2020-08-17 00:28:26 EDT
344659339,R,1532598,X,,2020-08-17 00:28:26 EDT
344659354,C,1572556,X,,2020-08-17 00:28:26 EDT
344659354,R,1576993,,X,2020-08-17 00:28:26 EDT
344659354,C,1568566,X,,2020-08-17 00:28:26 EDT
344659354,C,1596360,X,,2020-08-17 00:28:26 EDT
344659354,C,1596360,,X,2020-08-17 00:28:26 EDT
344659362,R,1546492,X,,2020-08-17 00:28:26 EDT
344659370,I,1454387,X,,2020-08-17 00:28:26 EDT
344659370,I,1454387,,X,2020-08-17 00:28:26 EDT
344659388,C,1544166,X,,2020-08-17 00:28:26 EDT
344659404,C,1544818,,X,2020-08-17 00:28:26 EDT
344659404,C,1544818,X,,2020-08-17 00:28:26 EDT
344659446,R,1548021,X,,2020-08-17 00:28:26 EDT
344659453,R,1546358,X,,2020-08-17 00:28:26 EDT
344659461,R,1548025,X,,2020-08-17 00:28:26 EDT
344659503,C,1546365,X,,2020-08-17 00:28:26 EDT
344659503,C,1546365,,X,2020-08-17 00:28:26 EDT
344659511,C,1545625,,X,2020-08-17 00:28:26 EDT
344659511,C,1545625,X,,2020-08-17 00:28:26 EDT
344659529,I,1401293,X,,2020-08-17 00:28:26 EDT
344659552,C,1545865,,X,2020-08-17 00:28:26 EDT
344659586,A,1546266,,,2020-08-17 00:28:26 EDT
344659602,I,1358797,,,2020-08-17 00:28:26 EDT
344659651,A,1548032,,,2020-08-17 00:28:26 EDT
344659677,C,1546826,X,,2020-08-17 00:28:26 EDT
344659727,R,1545495,X,,2020-08-17 00:28:26 EDT
344659768,C,1548048,X,,2020-08-17 00:28:26 EDT
344659784,C,1547017,,X,2020-08-17 00:28:26 EDT
344659909,R,1545176,X,,2020-08-17 00:28:26 EDT
344659933,C,1538522,X,,2020-08-17 00:28:26 EDT
344659941,R,1548025,X,,2020-08-17 00:28:26 EDT
344659958,R,1548043,X,,2020-08-17 00:28:26 EDT
344659982,I,1445642,X,,2020-08-17 00:28:26 EDT
344660048,C,1546517,X,,2020-08-17 00:28:26 EDT
344660071,C,1547688,,X,2020-08-17 00:28:26 EDT
344660097,C,1542525,,X,2020-08-17 00:28:26 EDT
344660105,C,1545669,,X,2020-08-17 00:28:26 EDT
344660162,R,1547332,X,,2020-08-17 00:28:26 EDT
344660212,R,1547342,X,,2020-08-17 00:28:26 EDT
344660238,R,1546259,X,,2020-08-17 00:28:26 EDT
344660246,A,1547780,,,2020-08-17 00:28:26 EDT
344660261,C,1544976,X,,2020-08-17 00:28:26 EDT
344660279,R,1548103,X,,2020-08-17 00:28:26 EDT
344660303,R,1548247,X,,2020-08-17 00:28:26 EDT
344660345,C,1548114,X,,2020-08-17 00:28:26 EDT
344660345,C,1548114,,X,2020-08-17 00:28:26 EDT
344660352,R,1545171,X,,2020-08-17 00:28:26 EDT
344660378,I,1430281,X,,2020-08-17 00:28:26 EDT
344660378,I,1430281,,X,2020-08-17 00:28:26 EDT
344660410,I,1256435,,,2020-08-17 00:28:26 EDT
344660436,C,1547448,X,,2020-08-17 00:28:26 EDT
344660436,C,1547448,,X,2020-08-17 00:28:26 EDT
344660444,R,1547342,X,,2020-08-17 00:28:26 EDT
344660451,R,1548134,X,,2020-08-17 00:28:26 EDT
344660477,R,1503553,X,,2020-08-17 00:28:26 EDT
344660485,C,1545963,X,,2020-08-17 00:28:26 EDT
344660485,C,1545963,,X,2020-08-17 00:28:26 EDT
344660501,R,1534281,X,,2020-08-17 00:28:26 EDT
344660519,C,1547333,,X,2020-08-17 00:28:26 EDT
344660550,A,1548157,,,2020-08-17 00:28:26 EDT
344660568,R,1548138,,X,2020-08-17 00:28:26 EDT
344660626,C,1546876,X,,2020-08-17 00:28:26 EDT
344660634,R,1471469,,X,2020-08-17 00:28:26 EDT
344660659,C,1545963,,X,2020-08-17 00:28:26 EDT
344660659,C,1545963,X,,2020-08-17 00:28:26 EDT
344660733,R,1548014,X,,2020-08-17 00:28:26 EDT
344660741,C,1544635,X,,2020-08-17 00:28:26 EDT
344660741,C,1544635,,X,2020-08-17 00:28:26 EDT
344660758,R,1545950,X,,2020-08-17 00:28:26 EDT
344660766,C,1547782,,X,2020-08-17 00:28:26 EDT
344660766,C,1547782,X,,2020-08-17 00:28:26 EDT
344660774,C,1547782,,X,2020-08-17 00:28:26 EDT
344660774,C,1547782,X,,2020-08-17 00:28:26 EDT
344660782,R,1546968,X,,2020-08-17 00:28:26 EDT
344660808,C,1546413,,X,2020-08-17 00:28:26 EDT
344660808,C,1546413,X,,2020-08-17 00:28:26 EDT
344660816,C,1547266,X,,2020-08-17 00:28:26 EDT
344660824,C,1547816,,X,2020-08-17 00:28:26 EDT
344660857,C,1540803,X,,2020-08-17 00:28:26 EDT
344660873,R,1548205,X,,2020-08-17 00:28:26 EDT
344660881,R,1548164,X,,2020-08-17 00:28:26 EDT
344660899,C,1544635,X,,2020-08-17 00:28:26 EDT
344660899,C,1544635,,X,2020-08-17 00:28:26 EDT
344660915,C,1460801,,X,2020-08-17 00:28:26 EDT
344660923,C,1545911,,X,2020-08-17 00:28:26 EDT
344660949,R,1548747,X,,2020-08-17 00:28:26 EDT
344660972,C,1545947,X,,2020-08-17 00:28:26 EDT
344661053,R,1606569,X,,2020-08-17 00:28:26 EDT
344661087,C,1541776,,X,2020-08-17 00:28:26 EDT
344661087,C,1541776,X,,2020-08-17 00:28:26 EDT
344661095,C,1547397,,X,2020-08-17 00:28:26 EDT
344661095,C,1547397,X,,2020-08-17 00:28:26 EDT
344661129,A,1547939,,,2020-08-17 00:28:26 EDT
344661178,R,1545177,X,,2020-08-17 00:28:26 EDT
344661194,R,1547252,X,,2020-08-17 00:28:26 EDT
344661202,R,1546113,X,,2020-08-17 00:28:26 EDT
344661293,C,1545839,X,,2020-08-17 00:28:26 EDT
344661293,C,1545839,,X,2020-08-17 00:28:26 EDT
344661319,I,1424246,X,,2020-08-17 00:28:26 EDT
344661319,I,1440363,X,,2020-08-17 00:28:26 EDT
344661327,C,1528940,,X,2020-08-17 00:28:26 EDT
344661335,C,1547478,X,,2020-08-17 00:28:26 EDT
344661350,C,1546727,X,,2020-08-17 00:28:26 EDT
344661368,A,1548242,,,2020-08-17 00:28:26 EDT
344661376,R,1547633,X,,2020-08-17 00:28:26 EDT
344661392,C,1546485,,X,2020-08-17 00:28:26 EDT
344661418,C,1547632,,X,2020-08-17 00:28:26 EDT
344661467,C,1548233,,X,2020-08-17 00:28:26 EDT
344661475,R,1545256,X,,2020-08-17 00:28:26 EDT
344661483,C,1546779,X,,2020-08-17 00:28:26 EDT
344661509,I,1379525,,X,2020-08-17 00:28:26 EDT
344661517,C,1546843,,X,2020-08-17 00:28:26 EDT
344661558,R,1547633,X,,2020-08-17 00:28:26 EDT
344661582,C,1547424,,X,2020-08-17 00:28:26 EDT
344661590,C,1545214,,X,2020-08-17 00:28:26 EDT
344661608,I,954217,,,2020-08-17 00:28:26 EDT
344661608,C,1546920,X,,2020-08-17 00:28:26 EDT
344661632,C,1545413,X,,2020-08-17 00:28:26 EDT
344661665,A,1545259,,,2020-08-17 00:28:26 EDT
344661707,C,1547716,,X,2020-08-17 00:28:26 EDT
344661715,R,1548230,X,,2020-08-17 00:28:26 EDT
344661749,R,1548319,,X,2020-08-17 00:28:26 EDT
344661772,C,1544503,X,,2020-08-17 00:28:26 EDT
344661772,C,1544503,,X,2020-08-17 00:28:26 EDT
344661798,C,1548264,X,,2020-08-17 00:28:26 EDT
344661806,C,1548236,,X,2020-08-17 00:28:26 EDT
344661822,I,1286057,,X,2020-08-17 00:28:26 EDT
344661822,I,1286057,X,,2020-08-17 00:28:26 EDT
344661848,C,1548232,X,,2020-08-17 00:28:26 EDT
344661897,C,1547352,X,,2020-08-17 00:28:26 EDT
344661939,C,1531834,X,,2020-08-17 00:28:26 EDT
344661939,C,1536019,X,,2020-08-17 00:28:26 EDT
344661947,R,1547072,X,,2020-08-17 00:28:26 EDT
344661954,C,1548260,X,,2020-08-17 00:28:26 EDT
344661954,C,1548260,,X,2020-08-17 00:28:26 EDT
344661970,R,1551880,X,,2020-08-17 00:28:26 EDT
344662036,A,1548242,,,2020-08-17 00:28:26 EDT
344662044,I,1430226,X,,2020-08-17 00:28:26 EDT
344662051,C,1545548,X,,2020-08-17 00:28:26 EDT
344662127,I,1369200,,,2020-08-17 00:28:26 EDT
344662143,C,1551277,,X,2020-08-17 00:28:26 EDT
344662143,C,1551277,X,,2020-08-17 00:28:26 EDT
344662192,R,1548347,,X,2020-08-17 00:28:26 EDT
344662200,C,1525460,,X,2020-08-17 00:28:26 EDT
344662218,C,1546040,X,,2020-08-17 00:28:26 EDT
344662218,C,1546040,,X,2020-08-17 00:28:26 EDT
344662226,C,1547724,X,,2020-08-17 00:28:26 EDT
344662234,R,1548298,X,,2020-08-17 00:28:26 EDT
344662242,A,1548075,,,2020-08-17 00:28:26 EDT
344662259,C,1548303,X,,2020-08-17 00:28:26 EDT
344662267,R,1545715,X,,2020-08-17 00:28:26 EDT
344662283,R,1548308,X,,2020-08-17 00:28:26 EDT
344662309,C,1546361,X,,2020-08-17 00:28:26 EDT
344662325,C,1546574,,X,2020-08-17 00:28:26 EDT
344662333,R,1548308,X,,2020-08-17 00:28:26 EDT
344662374,C,1547382,,X,2020-08-17 00:28:26 EDT
344662424,C,1544658,X,,2020-08-17 00:28:26 EDT
344662457,R,1548212,X,,2020-08-17 00:28:26 EDT
344662507,C,1544658,X,,2020-08-17 00:28:26 EDT
344662614,C,1547891,,X,2020-08-17 00:28:26 EDT
344662614,C,1547891,X,,2020-08-17 00:28:26 EDT
344662648,R,1548344,X,,2020-08-17 00:28:26 EDT
344662671,C,1548342,X,,2020-08-17 00:28:26 EDT
344662671,C,1548342,,X,2020-08-17 00:28:26 EDT
344662747,C,1547504,X,,2020-08-17 00:28:26 EDT
344662754,C,1465487,,X,2020-08-17 00:28:26 EDT
344662754,A,1547859,,,2020-08-17 00:28:26 EDT
344662762,I,1455374,,X,2020-08-17 00:28:26 EDT
344662770,A,1548154,,,2020-08-17 00:28:26 EDT
344662788,I,1400341,,,2020-08-17 00:28:26 EDT
344662895,A,1524866,,,2020-08-17 00:28:26 EDT
344662903,A,1547945,,,2020-08-17 00:28:26 EDT
344662937,A,1548360,,,2020-08-17 00:28:26 EDT
344662945,C,1547515,X,,2020-08-17 00:28:26 EDT
344662952,A,1548361,,,2020-08-17 00:28:26 EDT
344662994,C,1547115,X,,2020-08-17 00:28:26 EDT
344663000,C,1543841,,X,2020-08-17 00:28:26 EDT
344663018,C,1547115,X,,2020-08-17 00:28:26 EDT
344663026,C,1542928,,X,2020-08-17 00:28:26 EDT
344663034,C,1541171,X,,2020-08-17 00:28:26 EDT
344663042,C,1547531,X,,2020-08-17 00:28:26 EDT
344663059,C,1542947,X,,2020-08-17 00:28:26 EDT
344663075,C,1541586,,X,2020-08-17 00:28:26 EDT
344663083,R,1548405,X,,2020-08-17 00:28:26 EDT
344663125,C,1546183,X,,2020-08-17 00:28:26 EDT
344663141,C,1547130,X,,2020-08-17 00:28:26 EDT
344663166,C,1545345,,X,2020-08-17 00:28:26 EDT
344663182,C,1548414,X,,2020-08-17 00:28:26 EDT
344663190,C,1542973,X,,2020-08-17 00:28:26 EDT
344663208,I,1467497,,,2020-08-17 00:28:26 EDT
344663208,I,1471399,X,,2020-08-17 00:28:26 EDT
344663208,C,1544226,X,,2020-08-17 00:28:26 EDT
344663208,C,1547991,X,,2020-08-17 00:28:26 EDT
344663240,C,1542966,X,,2020-08-17 00:28:26 EDT
344663257,R,1548000,,X,2020-08-17 00:28:26 EDT
344663265,I,1454194,X,,2020-08-17 00:28:26 EDT
344663265,C,1545803,,X,2020-08-17 00:28:26 EDT
344663299,R,1548002,X,,2020-08-17 00:28:26 EDT
344663307,C,1547992,X,,2020-08-17 00:28:26 EDT
344663315,I,1460856,,,2020-08-17 00:28:26 EDT
344663331,A,1541866,,,2020-08-17 00:28:26 EDT
344663356,C,1546932,X,,2020-08-17 00:28:26 EDT
344663364,R,1545703,X,,2020-08-17 00:28:26 EDT
344663372,A,1548424,,,2020-08-17 00:28:26 EDT
344663380,A,1548044,,,2020-08-17 00:28:26 EDT
344663398,R,1545962,X,,2020-08-17 00:28:26 EDT
344663406,A,1548425,X,,2020-08-17 00:28:26 EDT
344663448,R,1548429,X,,2020-08-17 00:28:26 EDT
344663455,C,1548187,,X,2020-08-17 00:28:26 EDT
344663463,R,1547799,X,,2020-08-17 00:28:26 EDT
344663513,C,1548434,X,,2020-08-17 00:28:26 EDT
344663521,R,1517150,X,,2020-08-17 00:28:26 EDT
344663539,R,1517175,X,,2020-08-17 00:28:26 EDT
344663547,C,1548440,X,,2020-08-17 00:28:26 EDT
344663562,I,1351862,X,,2020-08-17 00:28:26 EDT
344663570,I,1364158,,,2020-08-17 00:28:26 EDT
344663588,C,1548438,X,,2020-08-17 00:28:26 EDT
344663588,C,1548438,,X,2020-08-17 00:28:26 EDT
344663596,C,1547718,,X,2020-08-17 00:28:26 EDT
344663604,R,1546252,X,,2020-08-17 00:28:26 EDT
344663612,R,1545971,X,,2020-08-17 00:28:26 EDT
344663661,C,1547440,,X,2020-08-17 00:28:26 EDT
344663679,C,1532225,X,,2020-08-17 00:28:26 EDT
344663687,R,1548457,X,,2020-08-17 00:28:26 EDT
344663687,R,1548457,,X,2020-08-17 00:28:26 EDT
344663695,R,1546561,X,,2020-08-17 00:28:26 EDT
344663745,R,1547400,X,,2020-08-17 00:28:26 EDT
344663760,I,1135921,X,,2020-08-17 00:28:26 EDT
344663802,R,1505324,X,,2020-08-17 00:28:26 EDT
344663810,C,1542583,,X,2020-08-17 00:28:26 EDT
344663810,C,1542583,X,,2020-08-17 00:28:26 EDT
344663851,R,1547431,X,,2020-08-17 00:28:26 EDT
344663869,C,1542375,X,,2020-08-17 00:28:26 EDT
344663869,C,1542375,,X,2020-08-17 00:28:26 EDT
344663877,C,1546943,X,,2020-08-17 00:28:26 EDT
344663885,A,1545289,,,2020-08-17 00:28:26 EDT
344663893,I,1382939,X,,2020-08-17 00:28:26 EDT
344663927,I,1427667,,X,2020-08-17 00:28:26 EDT
344663927,I,1427667,X,,2020-08-17 00:28:26 EDT
344663935,R,1548537,X,,2020-08-17 00:28:26 EDT
344663950,R,1544665,X,,2020-08-17 00:28:26 EDT
344663968,C,1547752,X,,2020-08-17 00:28:26 EDT
344663992,A,1547320,,,2020-08-17 00:28:26 EDT
344664024,R,1546101,X,,2020-08-17 00:28:26 EDT
344664032,C,1548578,,X,2020-08-17 00:28:26 EDT
344664040,R,1541703,X,,2020-08-17 00:28:26 EDT
344664065,C,1546946,,X,2020-08-17 00:28:26 EDT
344664065,C,1546946,X,,2020-08-17 00:28:26 EDT
344664073,A,1539573,,,2020-08-17 00:28:26 EDT
344664081,C,1540758,,X,2020-08-17 00:28:26 EDT
344664099,C,1545933,X,,2020-08-17 00:28:26 EDT
344664107,C,1545376,X,,2020-08-17 00:28:26 EDT
344664115,A,1548282,,,2020-08-17 00:28:26 EDT
344664123,R,1548537,X,,2020-08-17 00:28:26 EDT
344664131,R,1543684,X,,2020-08-17 00:28:26 EDT
344664149,A,1548598,,,2020-08-17 00:28:26 EDT
344664156,C,1547786,X,,2020-08-17 00:28:26 EDT
344664164,C,1533518,,X,2020-08-17 00:28:26 EDT
344664172,C,1547623,X,,2020-08-17 00:28:26 EDT
344664198,R,1544110,X,,2020-08-17 00:28:26 EDT
344664198,R,1544110,,X,2020-08-17 00:28:26 EDT
344664214,C,1548615,X,,2020-08-17 00:28:26 EDT
344664230,C,1512131,X,,2020-08-17 00:28:26 EDT
344664255,R,1546427,X,,2020-08-17 00:28:26 EDT
344664289,A,1540644,,,2020-08-17 00:28:26 EDT
344664297,A,1545283,,,2020-08-17 00:28:26 EDT
344664305,C,1548113,X,,2020-08-17 00:28:26 EDT
344664313,R,1544047,X,,2020-08-17 00:28:26 EDT
344664339,I,1466421,,X,2020-08-17 00:28:26 EDT
344664354,C,1548206,X,,2020-08-17 00:28:26 EDT
344664396,C,1544740,X,,2020-08-17 00:28:26 EDT
344664404,R,1538380,X,,2020-08-17 00:28:26 EDT
344664412,C,1546810,X,,2020-08-17 00:28:26 EDT
344664412,R,1547258,X,,2020-08-17 00:28:26 EDT
344664479,R,1546944,X,,2020-08-17 00:28:26 EDT
344664487,R,1548691,X,,2020-08-17 00:28:26 EDT
344664495,I,1390471,X,,2020-08-17 00:28:26 EDT
344664503,R,1547176,X,,2020-08-17 00:28:26 EDT
344664537,C,1534532,X,,2020-08-17 00:28:26 EDT
344664552,C,1546292,X,,2020-08-17 00:28:26 EDT
344664552,C,1546292,,X,2020-08-17 00:28:26 EDT
344664560,R,1548728,X,,2020-03-08 00:28:18 EST
344664578,C,1547709,X,,2020-08-17 00:28:26 EDT
344664628,R,1548704,X,,2020-08-17 00:28:26 EDT
344664644,C,1546946,,X,2020-08-17 00:28:26 EDT
344664644,C,1546946,X,,2020-08-17 00:28:26 EDT
344664651,R,1548841,X,,2020-08-17 00:28:26 EDT
344664669,R,1545616,X,,2020-08-17 00:28:26 EDT
344664685,A,1547484,,,2020-08-17 00:28:26 EDT
344664693,R,1548355,X,,2020-08-17 00:28:26 EDT
344664727,I,1407443,,X,2020-08-17 00:28:26 EDT
344664743,A,1548663,,,2020-03-08 00:28:18 EST
344664750,R,1546441,X,,2020-08-17 00:28:26 EDT
344664776,C,1546732,,X,2020-08-17 00:28:26 EDT
344664800,A,1519638,,,2020-08-17 00:28:26 EDT
344664818,C,1524254,X,,2020-08-17 00:28:26 EDT
344664875,A,1548477,X,,2020-08-17 00:28:26 EDT
344664891,C,1548764,,X,2020-08-17 00:28:26 EDT
344664909,C,1544538,,X,2020-08-17 00:28:26 EDT
344664933,A,1548477,X,,2020-08-17 00:28:26 EDT
344664958,I,1351591,,X,2020-08-17 00:28:26 EDT
344664966,R,1546851,X,,2020-08-17 00:28:26 EDT
344664990,C,1535910,X,,2020-08-17 00:28:26 EDT
344665005,C,1548569,X,,2020-08-17 00:28:26 EDT
344665021,I,1399207,X,,2020-08-17 00:28:26 EDT
344665047,C,1531592,,X,2020-08-17 00:28:26 EDT
344665054,C,1542337,,X,2020-08-17 00:28:26 EDT
344665054,C,1542337,X,,2020-08-17 00:28:26 EDT
344665062,I,1378210,X,,2020-08-17 00:28:26 EDT
344665070,C,1535932,,X,2020-08-17 00:28:26 EDT
344665088,C,1548791,,X,2020-08-17 00:28:26 EDT
344665096,A,1546445,,,2020-08-17 00:28:26 EDT
344665138,R,1548746,X,,2020-08-17 00:28:26 EDT
344665146,I,1427667,,X,2020-08-17 00:28:26 EDT
344665146,I,1427667,X,,2020-08-17 00:28:26 EDT
344665153,I,1452598,,,2020-08-17 00:28:26 EDT
344665161,R,1548811,X,,2020-08-17 00:28:26 EDT
344665179,A,1540642,,,2020-08-17 00:28:26 EDT
344665229,C,1547063,X,,2020-08-17 00:28:26 EDT
344665229,C,1547063,,X,2020-08-17 00:28:26 EDT
344665237,A,1465455,,,2020-08-17 00:28:26 EDT
344665252,C,1544842,,X,2020-08-17 00:28:26 EDT
344665260,R,1548093,,X,2020-08-17 00:28:26 EDT
344665278,I,1452202,X,,2020-08-17 00:28:26 EDT
344665286,C,1547035,,X,2020-08-17 00:28:26 EDT
344665302,R,1548855,X,,2020-08-17 00:28:26 EDT
344665310,C,1548857,X,,2020-08-17 00:28:26 EDT
344665336,C,1548113,X,,2020-08-17 00:28:26 EDT
344665351,R,1544105,X,,2020-08-17 00:28:26 EDT
344665369,I,1466460,,X,2020-08-06 00:28:19 EDT
344665369,I,1466534,,X,2020-08-06 00:28:19 EDT
344665385,C,1546425,X,,2020-08-17 00:28:26 EDT
344665419,C,1532836,,X,2020-08-17 00:28:26 EDT
344665484,R,1547059,,X,2020-08-17 00:28:26 EDT
344665484,R,1547059,X,,2020-08-17 00:28:26 EDT
344665500,C,1544250,X,,2020-08-17 00:28:26 EDT
344665526,R,1548370,,X,2020-08-17 00:28:26 EDT
344665534,I,1400628,,,2020-08-17 00:28:26 EDT
344665542,R,1548369,X,,2020-08-17 00:28:26 EDT
344665633,R,1548935,X,,2020-08-17 00:28:26 EDT
344665641,R,1542490,X,,2020-08-17 00:28:26 EDT
344665658,R,1560246,,X,2020-08-17 00:28:26 EDT
344665674,C,1548399,,X,2020-08-17 00:28:26 EDT
344665682,R,1548953,X,,2020-08-17 00:28:26 EDT
344665690,C,1548948,,X,2020-08-17 00:28:26 EDT
344665716,C,1548409,X,,2020-08-17 00:28:26 EDT
344665724,C,1548409,X,,2020-08-17 00:28:26 EDT
344665765,I,1441143,X,,2020-08-17 00:28:26 EDT
344665765,C,1530982,,X,2020-08-17 00:28:26 EDT
344665773,C,1538924,X,,2020-08-17 00:28:26 EDT
344665807,C,1547139,,X,2020-08-17 00:28:26 EDT
344665948,C,1543429,,X,2020-08-17 00:28:26 EDT
344665955,C,1543870,X,,2020-08-17 00:28:26 EDT
344665971,C,1545366,X,,2020-08-17 00:28:26 EDT
344665989,R,1546711,,X,2020-08-17 00:28:26 EDT
344665997,R,1547164,,X,2020-08-17 00:28:26 EDT
344666011,C,1547611,X,,2020-08-17 00:28:26 EDT
344666037,R,1548005,X,,2020-08-17 00:28:26 EDT
344666045,R,1548005,X,,2020-08-17 00:28:26 EDT
344666052,C,1548972,X,,2020-08-17 00:28:26 EDT
344666102,R,1548975,,X,2020-08-17 00:28:26 EDT
344666151,R,1548980,X,,2020-08-17 00:28:26 EDT
344666169,C,1548981,X,,2020-08-17 00:28:26 EDT
344666177,R,1548984,X,,2020-08-17 00:28:26 EDT
344666185,R,1548988,,X,2020-08-17 00:28:26 EDT
344666219,C,1548981,X,,2020-08-17 00:28:26 EDT
