activity_nr,rel_type,rel_act_nr,rel_safety,rel_health,load_dt
344635255,I,1112848,,X,2020-08-17 00:28:26 EDT
344635263,C,1511147,X,,2020-08-17 00:28:26 EDT
344635271,R,1532189,X,,2020-08-17 00:28:26 EDT
344635289,R,1544921,X,,2020-08-17 00:28:26 EDT
344635297,R,1544921,X,,2020-08-17 00:28:26 EDT
344635305,R,1544921,X,,2020-08-17 00:28:26 EDT
344635313,R,1540243,X,,2020-08-17 00:28:26 EDT
344635354,C,1540250,,X,2020-08-17 00:28:26 EDT
344635362,R,1544922,X,,2020-08-17 00:28:26 EDT
344635370,R,1541612,X,,2020-08-17 00:28:26 EDT
344635388,R,1542049,X,,2020-08-17 00:28:26 EDT
344635412,C,1543426,,X,2020-08-17 00:28:26 EDT
344635446,C,1543432,,X,2020-08-17 00:28:26 EDT
344635453,C,1543862,,X,2020-08-17 00:28:26 EDT
344635461,R,1544923,X,,2020-08-17 00:28:26 EDT
344635495,R,1544233,X,,2020-08-17 00:28:26 EDT
344635511,R,1544924,X,,2020-08-17 00:28:26 EDT
344635560,R,1544932,X,,2020-08-17 00:28:26 EDT
344635578,R,1544932,X,,2020-08-17 00:28:26 EDT
344635586,R,1544926,X,,2020-08-17 00:28:26 EDT
344635628,C,1542141,X,,2020-08-17 00:28:26 EDT
344635628,C,1542141,,X,2020-08-17 00:28:26 EDT
344635636,C,1541398,,X,2020-08-17 00:28:26 EDT
344635636,C,1541398,X,,2020-08-17 00:28:26 EDT
344635651,C,1542667,,X,2020-08-17 00:28:26 EDT
344635651,C,1542667,X,,2020-08-17 00:28:26 EDT
344635727,C,1543478,X,,2020-08-17 00:28:26 EDT
344635735,C,1542623,X,,2020-08-17 00:28:26 EDT
344635768,R,1539605,X,,2020-08-17 00:28:26 EDT
344635768,R,1539605,,X,2020-08-17 00:28:26 EDT
344635792,I,1408543,,,2020-08-17 00:28:26 EDT
344635818,R,1544550,X,,2020-08-17 00:28:26 EDT
344635826,R,1544599,X,,2020-08-17 00:28:26 EDT
344635834,R,1548994,,X,2020-08-17 00:28:26 EDT
344635859,R,1544608,X,,2020-08-17 00:28:26 EDT
344635867,R,1544622,X,,2020-08-17 00:28:26 EDT
344635875,C,1542625,X,,2020-08-17 00:28:26 EDT
344635891,C,1539103,,X,2020-08-17 00:28:26 EDT
344635909,I,1425589,,,2020-08-17 00:28:26 EDT
344635917,C,1542875,,X,2020-08-17 00:28:26 EDT
344635933,I,1418756,,X,2020-08-17 00:28:26 EDT
344635958,C,1543160,X,,2020-08-17 00:28:26 EDT
344635966,C,1541853,X,,2020-08-17 00:28:26 EDT
344636006,R,1542417,X,,2020-08-17 00:28:26 EDT
344636014,C,1552644,X,,2020-08-17 00:28:26 EDT
344636048,R,1535888,X,,2020-08-17 00:28:26 EDT
344636063,C,1539446,X,,2020-08-17 00:28:26 EDT
344636063,C,1539446,,X,2020-08-17 00:28:26 EDT
344636121,R,1542348,X,,2020-08-17 00:28:26 EDT
344636188,I,1439419,X,,2020-08-17 00:28:26 EDT
344636196,C,1539695,X,,2020-08-17 00:28:26 EDT
344636220,C,1542282,X,,2020-08-17 00:28:26 EDT
344636279,C,1539972,X,,2020-08-17 00:28:26 EDT
344636311,C,1542403,X,,2020-08-17 00:28:26 EDT
344636345,R,1544687,X,,2020-08-17 00:28:26 EDT
344636378,A,1544072,,,2020-08-17 00:28:26 EDT
344636444,C,1543637,,X,2020-08-17 00:28:26 EDT
