activity_nr,prog_type,prog_value,load_dt
344729645,P,CONSTR,2020-08-17 00:29:01 EDT
344729645,S,CONSTR,2020-08-17 00:29:01 EDT
344729652,P,CONSTR,2020-08-17 00:29:01 EDT
344729652,S,CONSTR,2020-08-17 00:29:01 EDT
344729660,P,CONSTR,2020-08-17 00:29:01 EDT
344729660,S,CONSTR,2020-08-17 00:29:01 EDT
344729686,P,CONSTR,2020-08-17 00:29:01 EDT
344729686,S,CONSTR,2020-08-17 00:29:01 EDT
344729694,P,FALL,2020-08-17 00:29:01 EDT
344729694,S,FALL,2020-08-17 00:29:01 EDT
344729702,N,AMPUTATE,2020-08-17 00:29:01 EDT
344729702,P,AMPUTATE,2020-08-17 00:29:01 EDT
344729710,L,FALL,2020-08-17 00:29:01 EDT
344729710,P,FALL,2020-08-17 00:29:01 EDT
344729728,P,FALL,2020-08-17 00:29:01 EDT
344729728,S,FALL,2020-08-17 00:29:01 EDT
344729744,L,FALL,2020-08-17 00:29:01 EDT
344729793,S,WPV,2020-08-17 00:29:01 EDT
344729801,N,AMPUTATE,2020-08-17 00:29:01 EDT
344729827,L,XFALLELEC,2020-08-17 00:29:01 EDT
344729827,P,XFALLELEC,2020-08-17 00:29:01 EDT
344729850,L,XFALLELEC,2020-08-17 00:29:01 EDT
344729850,P,XFALLELEC,2020-08-17 00:29:01 EDT
344729876,L,FORKLIFT,2020-08-17 00:29:01 EDT
344729884,N,TRENCH,2020-08-17 00:29:01 EDT
344729884,P,TRENCH,2020-08-17 00:29:01 EDT
344729900,P,RESCON,2020-08-17 00:29:01 EDT
344729900,S,RESCON,2020-08-17 00:29:01 EDT
344729934,S,HH,2020-08-17 00:29:01 EDT
344729959,N,AMPUTATE,2020-08-17 00:29:01 EDT
344729983,N,AMPUTATE,2020-08-17 00:29:01 EDT
344729991,L,CONSTR6,2020-08-17 00:29:01 EDT
344730007,L,FALL,2020-08-17 00:29:01 EDT
344730023,L,FALL,2020-08-17 00:29:01 EDT
344730080,S,HEALTH GENERAL SCHEDULE,2020-08-17 00:29:01 EDT
344730080,P,HEALTH GENERAL SCHEDULE,2020-08-17 00:29:01 EDT
344730106,L,XFALLELEC,2020-08-17 00:29:01 EDT
344730106,P,XFALLELEC,2020-08-17 00:29:01 EDT
344730155,L,FALL,2020-08-17 00:29:01 EDT
344730155,P,FALL,2020-08-17 00:29:01 EDT
344730189,P,PERMIT,2020-08-17 00:29:01 EDT
344730189,S,PERMIT,2020-08-17 00:29:01 EDT
344730213,N,DUSTEXPL,2020-08-17 00:29:01 EDT
344730346,P,CTARGET,2020-08-17 00:29:01 EDT
344730346,N,CTARGET,2020-08-17 00:29:01 EDT
344730445,S,DANGER,2020-08-17 00:29:01 EDT
344730452,S,DANGER,2020-08-17 00:29:01 EDT
344730569,S,HOSP,2020-08-17 00:29:01 EDT
